OBJECTID,parkName,altPrkName,parkAddr,addressFull,prkAcreage,bcrpPark,parkOprtr,parkClass,ctyOwndPrk,bcrpAmnty,parkDstrct,cnclDstrct,policeDstrct,lgsltvDstrct,friendsGroup,Shape__Area,Shape__Length,perTreeCover18,perGreenSpace18,perUndvlpEst18,undvlpAcreage18,siteID
320,Sarah Ann Park,,1122 W Saratoga St,"1122 WEST SARATOGA ST, BALTIMORE, MD, 21223",0.138667811,N,Department of Housing & Community Development,Alternate Provider - Green Space,Y,,Gwynns Falls,9,Southwestern,40,Unknown,6040.369873,317.7648709,35.41680206,91.51228248,37.14271828,0.0515052,P320
321,Racheal Wilson Park,,145 S Calverton Rd,"145 SOUTH CALVERTON RD, BALTIMORE, MD, 21223",0.660402823,Y,BCRP,Green Space,Y,,Gwynns Falls,9,Southwestern,40,Unknown,28767.2619,1004.041569,34.43085085,67.82624022,0.967224095,0.006387626,P321
322,Mighty Park,,3041 Stafford St,"3025 - 3049 STAFFORD ST, BALTIMORE, MD, 21223",1.154651126,Y,"Jeremy's Tree Service, LLC",Alternate Provider - Neighborhood Park,N,,Gwynns Falls,9,Southwestern,40,U,50296.80432,1016.938776,39.82173037,92.12056,1.031735432,0.01191304,P322
323,Midway Park,,2226 Kirk Ave,"2226 KIRK AVE, BALTIMORE, MD 21218",0.45497698,Y,Maryland Transit Authority/BCRP,Mini Park,N,,Clifton,12,Eastern,43,U,19818.87659,572.5763602,9.801745878,70.01655876,0.022564059,0.000102662,P323
324,Your Playground,,1604 Ellsworth St,"1604 ELLSWORTH ST, BALTIMORE, MD, 21213",0.498685351,N,Preston Community Development Corporation,Alternate Provider - Mini Park,N,,Patterson,12,Eastern,45,U,21722.82074,590.8966946,1.255018794,91.77123214,6.623274492,0.033029564,P324
325,Barclay Park,,1719 Barclay St,"1719 BARCLAY ST, BALTIMORE, MD, 21202",0.213892477,N,"Greenmount West Properties, LLC",Alternate Provider - Mini Park,N,,Patterson,12,Eastern,45,U,9317.194397,390.4485494,41.72411098,82.16444003,32.65665212,0.069850687,P325
326,Wonderground,,409 E Lanvale St,"409 E LANVALE ST, BALTIMORE, MD, 21202",0.293814176,N,"New Greenmount West Community Association, INC",Alternate Provider - Mini Park,N,,Patterson,12,Eastern,45,U,12798.61932,522.5627859,38.26201821,82.49201123,5.761644478,0.016928693,P326
327,Paul Povlock Memorial Park,Hunter's Lot Park,1700 Hunter St,"1700 HUNTER ST, BALTIMORE, MD, 21202",0.209965017,N,Daniel Schoch,Alternate Provider - Mini Park,N,,Patterson,12,Eastern,45,U,9146.110535,382.5407548,58.26310898,95.35783739,52.11095457,0.109415625,P327
328,26th Street Green,,221-229 E 26th St,"221-229 E 26TH ST, BALTIMORE, MD, 21218",0.126583913,N,Department of Transportation,Alternate Provider - Civic Space,Y,,Clifton,12,Northern,43,U,5514.015991,371.1697592,3.56440946,4.223989383,0.409549927,0.000518428,P328
329,The Meadow,,200 W Lexington St,"200 W LEXINGTON ST, BALTIMORE, MD, 21201",0.922557883,N,"Downtown Partnership (C-W Superblock, LLC)",Alternate Provider - Mini Park,N,,Carroll,11,Central,40,U,40186.7821,801.8912924,,74.46396573,0.111560556,0.001029219,P329
331,Wills Park,Inner Harbor,1401 Point St,"1401 POINT ST, BALTIMORE, MD, 21231",0.564947146,N,"Waterfront Partnership (Wills Street Pier, LLC)",Alternate Provider - Mini Park,N,,Patterson,12,Central,46,U,24609.19617,812.5242995,,5.753919258,5.753919258,0.032506863,P331
333,Gwynns Falls / Leakin Park @ Leon Day Park,Gwynns Falls / Leakin Park,1198 N Franklintown Rd,"1198 N FRANKLINTOWN RD, BALTIMORE, MD, 21216",16.06836579,Y,BCRP,Neighborhood Park,Y,,Gwynns Falls,9,Northwestern,40,Y,699940.8135,3520.192946,22.86520911,92.69596456,11.00065373,1.767639422,P245
334,Gwynns Falls / Leakin Park,"Campground, Eagle Drive, Leon Day, Morris Rd & North Avenue, Seminole Avenue, Stokes Drive",4921 Windsor Mill Rd,"4921 WINDSOR MILL RD, BALTIMORE, MD, 21207",864.6081589,Y,BCRP,Citywide Park,Y,,Gwynns Falls,"7,8,9",Northwestern/Southwestern,40/41,Y,37662482.05,122378.1782,94.00190837,99.15563364,93.89554573,811.8350439,P245
343,Gwynns Falls / Leakin Park @ Morris Road & North Ave,Gwynns Falls / Leakin Park,Morris Rd & W North Ave,"MORRIS RD & W NORTH AVE, BALTIMORE, MD, 21216",33.65470389,Y,BCRP,Neighborhood Park,Y,,Gwynns Falls,7,Northwestern,41,Y,1466004.766,7032.658295,78.55986005,96.23673864,72.00976783,24.23486801,P245
355,Gwynns Falls / Leakin Park @ Semionole Ave Park,Gwynns Falls / Leakin Park,Seminole Ave & Kevin Rd,"SEMINOLE AVE & KEVIN RD, BALTIMORE, MD, 21229",2.858211512,Y,BCRP,Neighborhood Park,Y,,Gwynns Falls,8,Northwestern/Southwestern,41,Y,124504.1917,1975.425135,12.0254458,99.81685304,99.48466,2.843504753,P245
357,Gwynns Falls / Leakin Park @ Campground,Gwynns Falls / Leakin Park,4921 Windsor Mill Rd,"4921 WINDSOR MILL RD, BALTIMORE, MD, 21207",2.179909761,Y,BCRP,Special Use - Facility,Y,,Gwynns Falls,7,Northwestern,41,Y,94957.24908,1366.432557,66.88225085,89.23450605,61.63707381,1.343643337,P245
365,Gwynns Falls / Leakin Park @ Eagle Drive,Gwynns Falls / Leakin Park,Sloman Dr & Windsor Mill Rd,"SLOMAN DR & WINDSOR MILL RD, BALTIMORE, MD, 21207",68.06861813,Y,BCRP,Neighborhood Park,Y,,Gwynns Falls,8,Northwestern,41,Y,2965080.866,8573.053091,45.22121189,91.15778822,22.68945293,15.44452062,P245
367,Gwynns Falls / Leakin Park @ Stokes Drive,Gwynns Falls / Leakin Park,Stokes Dr & Wildwood Pkwy,"STOKES DR & WILDWOOD PWKY, BALTIMORE, MD, 21229",6.103714236,Y,BCRP,Neighborhood Park,Y,,Gwynns Falls,8,Northwestern,41,Y,265878.8557,3794.39305,13.92942266,84.65527128,82.99087368,5.065566296,P245
368,Cloverdale Park,Druid Hill Park,2556 Druid Hill Ave,"2556 DRUID HILL AVE, BALTIMORE, MD, 21217",1.700076429,Y,BCRP,Neighborhood Park,Y,,Druid Hill,7,Western,40,Yes,74055.62506,1230.067966,54.45473546,88.90174488,53.71829618,327.1701127,P368
369,Druid Hill Park,,900 Druid Park Lake Dr,"900 DRUID PARK LAKE DR, BALTIMORE, MD, 21217",607.3428729,Y,BCRP,Citywide Park,Y,,Druid Hill,7,Northern/Western,40,Yes,26455961.37,40319.85211,54.45473546,88.90174488,53.71829618,327.1701127,P367
381,Umbra Street Park,,Hudson St and Umbra St,"HUDSON ST AND UMBRA ST, BALTIMORE, MD, 21224",2.008238178,N,Department of Transportation,Alternate Provider - Mini Park,Y,,Patterson,1,Southeastern,46,U,87479.20496,1601.994723,,,,,P381
